Gmt time,Open,High,Low,Close,Volume
16.08.2021 00:00:00.000,24.698,24.868,23.768,24.468,1150.59
17.08.2021 00:00:00.000,23.838,24.568,23.738,23.958,1105.855
18.08.2021 00:00:00.000,23.998,25.928,23.678,25.178,1664.355
19.08.2021 00:00:00.000,24.958,25.628,24.128,24.128,1363.025
20.08.2021 00:00:00.000,24.158,24.468,23.658,23.998,1040.12
23.08.2021 00:00:00.000,24.008,24.918,23.898,24.798,740.18
24.08.2021 00:00:00.000,24.908,25.338,24.747,25.068,669.86
25.08.2021 00:00:00.000,25.058,25.178,24.058,24.338,970.8
26.08.2021 00:00:00.000,24.358,25.398,24.358,24.868,789.395
27.08.2021 00:00:00.000,25.018,26.078,24.897,25.678,754.3
30.08.2021 00:00:00.000,25.738,26.588,25.597,25.698,949.275
31.08.2021 00:00:00.000,25.578,26.348,25.578,26.298,628.33
01.09.2021 00:00:00.000,26.378,26.488,26.018,26.168,670.81
02.09.2021 00:00:00.000,26.197,26.858,26.077,26.477,542.885
03.09.2021 00:00:00.000,26.418,26.738,26.218,26.618,630.63
07.09.2021 00:00:00.000,26.628,26.808,26.268,26.658,682.52
08.09.2021 00:00:00.000,26.548,26.588,24.957,25.578,947.5
09.09.2021 00:00:00.000,25.348,26.228,25.258,26.088,707.11
10.09.2021 00:00:00.000,26.128,26.718,26.128,26.268,526.075
13.09.2021 00:00:00.000,25.998,26.218,25.027,25.838,1015.94
14.09.2021 00:00:00.000,25.698,26.688,25.698,26.188,731.155
15.09.2021 00:00:00.000,26.198,27.138,26.018,27.048,823.54
16.09.2021 00:00:00.000,27.108,28.778,26.998,28.618,1342.84
17.09.2021 00:00:00.000,28.658,29.278,28.058,28.718,1513.17
20.09.2021 00:00:00.000,27.545,28.088,26.048,26.508,2193.115
21.09.2021 00:00:00.000,26.698,27.138,26.068,26.598,1541.9825
22.09.2021 00:00:00.000,26.578,27.758,26.578,27.408,1295.1125
23.09.2021 00:00:00.000,27.698,29.178,27.688,28.748,1208.4175
24.09.2021 00:00:00.000,28.197,28.748,27.898,28.548,1049.485
