Close,High,Low,trade_count,Open,Volume,vwap
212.53,215.775,211.69,11944,212.12,946141,213.603907
214.43,214.635,212.255,12357,213.24,964832,213.476741
214.23,215.115,212.45,10967,215.02,779641,213.552708
213.765,215.68,213.53,11561,213.9,973782,214.565934
213.96,215.24,213.4,8594,214.7,728795,214.19299
214.0,214.845,213.07,12299,214.04,919301,214.01041
211.27,214.8,210.88,12354,214.175,1107896,212.442007
208.96,212.37,207.73,12597,211.895,828809,209.728939
207.85,209.84,207.18,19721,208.425,1632958,208.669415
202.3,213.56,201.5,27872,210.865,1994299,205.139296
203.35,207.85,201.68,19418,204.505,1875434,204.493141
202.93,205.32,202.165,12539,203.43,968620,203.742942
213.275,215.38,205.61,25261,205.63,2182167,212.895701
220.17,220.84,216.62,30254,218.92,2508756,219.230711
229.365,230.99,219.3,30531,220.89,2830643,226.828352
227.22,229.53,224.78,19063,227.92,1715351,227.635045
229.63,230.78,227.155,14198,228.03,1250550,229.362139
233.22,234.91,230.455,18059,231.05,1586856,232.822614
232.78,235.1,230.88,11825,234.01,972239,232.429103
231.65,234.19,229.37,13249,233.915,1057450,231.343673
230.895,233.12,230.11,10346,231.72,836545,231.337224
230.56,232.855,229.35,9689,231.3,787642,230.999171
225.975,230.36,225.78,15378,230.03,1167075,226.789509
224.9,226.5,223.8,9312,226.27,772469,225.013695
227.74,229.09,225.435,16939,226.165,1273052,227.799355
227.15,229.3,226.255,10565,226.48,762910,228.215083
229.3,229.43,224.7,12282,226.8,923026,227.088206
