;Gmt time;Open;High;Low;Close;Volume;trade_count;vwap;MACD;MACD_signal;MACD_hist;MACD_diff;MACD_slope;Signal_slope;EMA_5;MACD_Hist_volatility_5;EMA_10;MACD_Hist_volatility_10;EMA_20;MACD_Hist_volatility_20;EMA_50;MACD_Hist_volatility_50;EMA_100;MACD_Hist_volatility_100;Close_slope_pct;EMA_5_slope_pct;EMA_10_slope_pct;EMA_20_slope_pct;EMA_50_slope_pct;EMA_100_slope_pct;EMA_5_x_EMA_10_UP;EMA_5_x_EMA_10_DOWN;EMA_5_x_EMA_20_UP;EMA_5_x_EMA_20_DOWN;EMA_5_x_EMA_50_UP;EMA_5_x_EMA_50_DOWN;EMA_5_x_EMA_100_UP;EMA_5_x_EMA_100_DOWN;EMA_10_x_EMA_20_UP;EMA_10_x_EMA_20_DOWN;EMA_10_x_EMA_50_UP;EMA_10_x_EMA_50_DOWN;EMA_10_x_EMA_100_UP;EMA_10_x_EMA_100_DOWN;EMA_20_x_EMA_50_UP;EMA_20_x_EMA_50_DOWN;EMA_20_x_EMA_100_UP;EMA_20_x_EMA_100_DOWN;EMA_50_x_EMA_100_UP;EMA_50_x_EMA_100_DOWN;RSI;RSI_norm;BB_Width;BB_Percent_b;BB_Breakout_up;BB_Breakout_down;Body_today;Body_prev;Engulfing_ratio;Engulfing_direction;Engulfing_strength;Engulfing_inclusion;Engulfing_index;OBV;OBV_diff;OBV_pct;OBV_slope;OBV_momentum;VWAP;Close_VWAP_Diff;Close_VWAP_Ratio;Avg_Trade_Size;Trade_Count_Norm;Donchian_High;Donchian_Low;Vol_MA;ADX;Profit_5;Target_5
443;2024-12-04 14:00:00+00:00;71.18;71.44;69.16;69.17;153788;1604;70.14917;5.095867249973921;4.483270752029542;0.612596497944379;0.612596497944379;-0.08580866409238297;0.06806627754937544;70.26863527039572;0.09662199957416713;69.7502905407264;0.33065946819001557;68.67472114741342;0.3176839353274124;66.57505249846055;0.31148673875209215;63.632209684987046;0.522961193294084;-0.010585037905878914;0.0171751880368636;0.021742075861306154;0.01933189204624631;0.013975609868920326;0.011872794394297833;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;54.57355120015178;0.5457355120015178;0.06205121702024828;0.31191999384895824;0;0;2.010000000000005;0.19999999999998863;10.049999949750598;-1.0;2.6499999999999915;-2.199999989000114;-58.59149941409133;19665756.0;-153788.0;-0.007759411619157386;2747.4;-64235.85000000149;47.388258596866415;21.781741403133587;1.4596442673370134;95.87780548628429;1.2069224981188864;71.82;69.16;77069.0;38.53001074041254;-0.00448171172473619;0
444;2024-12-04 15:00:00+00:00;69.17;69.95;68.65;69.765;262469;2822;69.323549;5.063334238278429;4.541277100654431;0.5220571376239986;0.5220571376239986;-0.03253301169549161;0.05800634862488874;70.10075684693048;0.09067947582907838;69.75296498786705;0.25597293087280426;68.77855722861214;0.32491761833595434;66.70014847891308;0.2935936916390155;63.75365107736354;0.5253875650440631;-0.01621659733483756;0.005849443386323079;0.014622921040214933;0.0157860519866103;0.012700794941139721;0.011247130195654584;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;57.60852412780686;0.5760852412780686;0.04920263438084768;0.37224714077303606;0;0;0.5949999999999989;2.010000000000005;0.2960199003502375;1.0;-1.4150000000000063;0.2960199003502375;-0.12399331068576139;19928225.0;262469.0;0.013346499366716502;18070.2;179454.55000000075;47.46868371636838;22.29631628363162;1.4697058047123244;93.00815024805102;1.91149243621585;71.44;68.65;208128.5;36.15740535299613;0.0013617143266680838;0
445;2024-12-04 16:00:00+00:00;69.79;69.96;69.24;69.57;134694;1572;69.606939;5.005766360426051;4.587726026631593;0.41804033379445826;0.41804033379445826;-0.05756787785237805;0.046448925977162325;69.92383789795366;0.13579615201469183;69.71969862643667;0.20788730338302713;68.85393273064908;0.326542065965973;66.81269167581846;0.27613066134320674;63.868826303554364;0.5266410889601288;-0.020830401125967686;-0.003158527265713061;0.008001306076807558;0.01214384565785094;0.011286668442012551;0.010533069322357487;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;56.26456153937644;0.5626456153937643;0.031508613133031924;0.1451132557527541;0;0;0.22000000000001307;0.5949999999999989;0.3697478985382615;-1.0;-0.3999999999999915;0.32773109188617927;-0.04847115300422484;19793531.0;-134694.0;-0.006758956204077404;-52310.0;38465.5;47.509373272463876;22.060626727536118;1.4643426172140712;85.68320610687023;0.7862620873624542;69.96;68.65;198581.5;33.97698860831284;0.020986057208567027;1
446;2024-12-04 17:00:00+00:00;69.59;70.06;69.27;69.57;93754;1107;69.608232;4.944182030656677;4.623371627034102;0.3208104036225752;0.3208104036225752;-0.061584329769374335;0.03564560040250875;69.80589193196911;0.17253924879432977;69.69248069435727;0.1688196621524279;68.9221296134444;0.32511969014270276;66.92082141402166;0.2631616755198962;63.98172083219685;0.527392933452471;-0.019588500563697868;-0.008677422204983659;0.0028790391645168263;0.009004343114185215;0.009989971256093874;0.009865021973150959;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;56.26456153937644;0.5626456153937643;0.032086597906434;0.1662087543344134;0;0;0.020000000000010232;0.22000000000001307;0.09090909049590888;-1.0;0.22000000000001307;0.09090909049590888;0.001818181801654645;19793531.0;0.0;0.0;-5132.6;32157.949999999255;47.537606988195165;22.032393011804828;1.4634729092963399;84.69196025293586;0.6037084166515179;70.06;69.24;114224.0;32.06750154135561;0.0261607014517753;1
447;2024-12-04 18:00:00+00:00;69.57;69.76;69.03;69.49;76221;894;69.440587;4.872002815666946;4.648234745897386;0.22376806976955965;0.22376806976955965;-0.07217921498973112;0.024863118863284406;69.70059462131275;0.15480388335719825;69.65566602265595;0.17259498638631993;68.97621250740208;0.32257428733398147;67.02157351543256;0.2529923682161496;64.09079566720285;0.5287556907067967;-0.029740296006702173;-0.015777895836248963;-0.0031994904178370208;0.005153200920062201;0.008311184295341887;0.008980754475528069;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;55.63091202311396;0.5563091202311395;0.02852807076751303;0.06010725697378882;0;0;0.0799999999999983;0.020000000000010232;3.9999997999978785;-1.0;0.10000000000000853;0.0;0.0;19717310.0;-76221.0;-0.0038508035781993355;-20446.8;-38385.050000000745;47.56042434091453;21.929575659085465;1.461088730030952;85.25838926174497;0.7506297229219143;70.06;69.03;84987.5;29.998765844376788;0.03885451144049508;1
448;2024-12-04 19:00:00+00:00;69.54;69.79;67.28;68.86;372502;3633;68.228393;4.740994557908039;4.657510727098451;0.08348383080958754;0.08348383080958754;-0.13100825775890712;0.009275981201064987;69.42039641420851;0.16988037951456933;69.51099947308214;0.21438917828384554;68.96514464955426;0.3201063988672601;67.09366867169011;0.24523814416164177;64.18523535696121;0.5296538670431494;-0.00448171172473619;-0.012071372283283447;-0.0034306820199485814;0.004228972426658018;0.007789947642047334;0.00869097073183435;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;50.72339715009178;0.5072339715009178;0.03183070977234175;-0.14306831722897276;0;1;0.6800000000000068;0.0799999999999983;8.499999893750267;-1.0;0.7099999999999937;0.6249999921876556;3.7718749057041503;19344808.0;-372502.0;-0.018892130823119357;-64189.6;-393614.44999999925;47.66807279730282;21.19192720269718;1.4445727708105764;102.5328929259565;1.9345047923322685;69.79;67.28;224361.5;29.102219297581453;0.05257043276212612;1
449;2024-12-04 20:00:00+00:00;68.855;69.935;68.6;69.86;195711;2221;69.500934;4.706575010356389;4.662417155424245;0.04415785493214397;0.04415785493214397;-0.03441954755165;0.004906428325793577;69.56693094280568;0.1572697225077553;69.57445411433993;0.25328917655442557;69.05036896864434;0.3177302612359418;67.20215225319245;0.23970665762955976;64.29760693405109;0.5307206376074408;0.0013617143266680838;-0.007615123261656644;-0.0025591868898786896;0.003951983742966868;0.007526276713433093;0.0085321522374847;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;57.25316082093922;0.5725316082093922;0.03187063639765398;0.3073746604051848;0;0;1.0049999999999955;0.6800000000000068;1.4779411742971238;1.0;0.3199999999999932;0.9999999985294118;0.47294117507956784;19540519.0;195711.0;0.010116978157653556;-77541.2;-185823.55000000075;47.72684430359097;22.133155696409027;1.463746472647967;88.11841512832058;0.9874036751630112;69.935;67.28;284106.5;28.09551625991231;0.02734039507586597;1
450;2024-12-05 14:00:00+00:00;70.085;71.79;69.9;71.03;156018;1496;70.79199;4.771704442017366;4.673345884083557;0.09835855793380954;0.09835855793380954;0.06512943166097784;0.01092872865931227;70.05462062853712;0.11492065127625173;69.83909882082358;0.2633321178881576;69.23890525734487;0.31037342884543173;67.35226392953784;0.23629295512742757;64.43092164822829;0.5317066870858722;0.020986057208567027;0.0018703597301727845;0.0017125747348201781;0.0055911479770047595;0.008075894567119683;0.008800777737834314;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;63.43717979040466;0.6343717979040466;0.032266032075374644;0.8213279502303814;0;0;0.9450000000000074;1.0049999999999955;0.9402985065270777;1.0;2.174999999999997;-0.22388059679215394;-0.4578692349988151;19696537.0;156018.0;0.007984332452991572;-19398.8;-29562.199999999255;47.7759384925406;23.254061507459404;1.4867316528191306;104.29010695187166;0.6106122448979592;71.79;68.6;175864.5;26.614576998533074;0.020132338448542765;1
451;2024-12-05 15:00:00+00:00;71.07;72.04;71.07;71.39;226131;2161;71.600594;4.850049183344183;4.691016214009619;0.15903296933456357;0.15903296933456357;0.07834474132681635;0.017670329926062323;70.49974708569141;0.07040899459341136;70.12108085340111;0.24753807173491219;69.44377142331201;0.2991709145078935;67.51060652053636;0.23633293632455182;64.56872517994654;0.5324119840566829;0.0261607014517753;0.009939779215177257;0.00614987664054468;0.0075685677850247735;0.008813177932557792;0.009174563298933633;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;65.13042055375483;0.6513042055375483;0.03369366635736979;0.9427607630274695;0;0;0.3200000000000074;0.9450000000000074;0.3386243382660112;1.0;1.3050000000000068;-0.042328042283241996;-0.01870496342727752;19922668.0;226131.0;0.011480749128641277;25827.4;189366.75;47.84782499161502;23.54217500838498;1.4920218424246154;104.64183248496067;1.102926165362368;72.04;69.9;191074.5;25.460264122194467;0.006863706401456715;0
452;2024-12-05 16:00:00+00:00;71.4;72.21;71.305;72.19;98117;1110;71.761876;4.97953590160499;4.719868182769156;0.25966771883583384;0.25966771883583384;0.12948671826080727;0.028851968759536994;71.06316472379427;0.08394168111531354;70.49724797096454;0.19294161234083856;69.7053170020442;0.28281948179056926;67.69411214718198;0.23671626912761518;64.7196415130169;0.5327450255973192;0.03885451144049508;0.01954890212751336;0.012082031460798278;0.010570375904067978;0.010034658938506687;0.009811796518791544;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;68.65001346299114;0.6865001346299114;0.0395155329067424;1.1106127906163645;1;0;0.789999999999992;0.3200000000000074;2.468749992285074;1.0;1.1200000000000045;-0.031249999902359014;-0.08640624946000063;20020785.0;98117.0;0.004924892589687202;60695.0;272717.3999999985;47.879935480117325;24.310064519882673;1.507729684180082;88.39369369369369;0.6985525487728131;72.21;71.07;162124.0;24.5433649956426;0.03892505887242004;1
453;2024-12-05 17:00:00+00:00;72.2;72.965;72.165;72.48;120825;1258;72.588371;5.107096994474418;4.758591063939682;0.3485059305347358;0.3485059305347358;0.12756109286942774;0.0387228811705258;71.53544314919618;0.12276025048394623;70.85774833988008;0.1560169450778874;69.96957252565903;0.25866313603443425;67.88179402376308;0.23799251000801372;64.87331197810566;0.5327622268645921;0.05257043276212612;0.030467223528484175;0.019374615197692006;0.014564282888243931;0.011746642681435503;0.01072016979166255;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;69.85333468446105;0.6985333468446104;0.04403551419648206;1.105778970733803;1;0;0.28000000000000114;0.789999999999992;0.35443037929819443;1.0;1.0799999999999983;-0.012658227832084796;-0.00484537733111027;20141610.0;120825.0;0.006034978148958592;159360.4;365022.6000000015;47.919831669259885;24.56016833074012;1.512526181232294;96.04531001589825;0.8332965334510929;72.965;71.305;109471.0;24.32986501001896;0.04801324503311244;1
454;2024-12-05 18:00:00+00:00;72.485;72.54;71.615;71.77;80573;910;72.073994;5.142196921841901;4.796951649729904;0.3452452721119972;0.3452452721119972;0.03509992736748302;0.03836058579022161;71.6136287661308;0.11161486060589207;71.02361227808369;0.12919399714631993;70.1410418089296;0.2249027915682808;68.03427268949785;0.23950201626151496;65.00988005774713;0.5317257765364161;0.02734039507586597;0.02942055651424104;0.02082888298860653;0.015795322408494846;0.01238234801127031;0.011077754797726796;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;63.35809421541037;0.6335809421541037;0.044215960719246626;0.7971662109584124;0;0;0.7150000000000034;0.28000000000000114;2.553571419451532;-1.0;0.4300000000000068;0.9999999964285713;1.09803570644262;20061037.0;-80573.0;-0.004000325693924167;104103.6;259968.44999999925;47.945597841746036;23.82440215825396;1.4969048928515007;88.54175824175825;0.8328248932275777;72.965;71.615;100699.0;23.4785075590143;0.0600529469137523;1
455;2024-12-05 19:00:00+00:00;71.77;72.465;71.745;72.46;54138;652;72.255902;5.223412902317975;4.839597774988711;0.3838151273292638;0.3838151273292638;0.08121598047607392;0.04264612525880729;71.89575251075387;0.09072009854850456;71.28477368206848;0.12401161258967945;70.36189496998392;0.21164766797764342;68.20783062324304;0.24205030832578353;65.15740718531649;0.5294743203018599;0.020132338448542765;0.02628137681280581;0.020700078976589636;0.01621905644615788;0.01270286466688441;0.011275417431626501;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;66.64610994575894;0.6664610994575894;0.04729589734173252;0.9031958807136846;0;0;0.6899999999999977;0.7150000000000034;0.965034963685258;1.0;-0.025000000000005684;0.965034963685258;-0.023282312028380475;20115175.0;54138.0;0.0026986640820212404;83727.6;304143.3500000015;47.96337970660417;24.49662029339582;1.5107359081708505;83.03374233128834;0.6936170212765957;72.54;71.615;67355.5;22.692639142702305;0.04719845431962465;1
456;2024-12-05 20:00:00+00:00;72.315;72.5;71.77;71.88;153069;1596;72.072312;5.229664127240284;4.878604410213868;0.35105971702641536;0.35105971702641536;0.006251224922309007;0.03900663522515746;71.89050167383591;0.0462812453127164;71.39299664896511;0.1268980005303261;70.50647640141402;0.202374968748206;68.3518372654688;0.24414965368957706;65.2905278351122;0.5277635049920212;0.006863706401456715;0.01972708620435278;0.018138850401110244;0.015303099994728378;0.012460719704488924;0.011178827724321168;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;61.579047423544665;0.6157904742354466;0.04614065753300179;0.6730294103740573;0;0;0.4350000000000023;0.6899999999999977;0.6304347816950274;-1.0;-0.10999999999999943;0.6304347816950274;-0.04371928153679403;19962106.0;-153069.0;-0.007609628054441431;7887.6;131286.5;48.012329523243444;23.86767047675655;1.4971154433404836;95.90789473684211;1.5161494616846105;72.5;71.745;103603.5;22.001848711348867;0.05808291597106304;1
457;2024-12-06 14:00:00+00:00;72.78;75.56;72.36;75.0;215704;2186;74.713871;5.505462068461895;4.941290176038671;0.5641718924232242;0.5641718924232242;0.2757979412216116;0.06268576582480279;72.92700111589062;0.09387339498444786;72.04881544006236;0.16504889330874348;70.93443102985078;0.20483440693415322;68.61254952956806;0.25182492492839065;65.48279461065454;0.5310088045573765;0.03892505887242004;0.026227883311144912;0.022008908344008798;0.017633002483448183;0.013567463303000233;0.011791676835604073;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;73.43254608648135;0.7343254608648135;0.05880201077417962;1.2383600519962397;1;0;2.219999999999999;0.4350000000000023;5.103448264129974;1.0;2.6850000000000023;-1.0689655147839896;-14.647776389253146;20177810.0;215704.0;0.010805673509598712;31405.0;324554.0;48.08994294541687;26.910057054583127;1.5595776456862638;98.67520585544374;1.4790257104194857;75.56;71.77;184386.5;23.55160467948461;0.02;1
458;2024-12-06 15:00:00+00:00;74.995;76.0;74.43;75.96;188209;2242;75.312649;5.819821187810703;5.029143277215875;0.7906779105948285;0.7906779105948285;0.3143591193488078;0.08785310117720346;73.93800074392708;0.1919616208673567;72.75993990550556;0.2211874968459761;71.41305664605548;0.2239520976393685;68.90068484213403;0.26789744939891735;65.69026402430494;0.5398154485470983;0.04801324503311244;0.03358555548079931;0.026845216087044314;0.020630169204865413;0.015009780354571508;0.01259303743386791;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;75.92563864156043;0.7592563864156042;0.06956176575013348;1.1776775570725582;1;0;0.9649999999999892;2.219999999999999;0.4346846844888761;1.0;3.1799999999999926;0.002252252251235677;0.0031132821983124097;20366019.0;188209.0;0.009327523650980885;44881.8;477063.0;48.15970239862521;27.800297601374787;1.5772522714377983;83.94692239072256;1.1165338645418326;76.0;72.36;201956.5;25.199442117958224;0.004607688256977469;0
459;2024-12-06 16:00:00+00:00;75.99;76.275;75.25;76.08;166212;1929;75.815178;6.091016248898299;5.135330574384117;0.9556856745141822;0.9556856745141822;0.27119506108759595;0.10618729716824227;74.6520004959514;0.2609831230787777;73.36358719541363;0.2705664716050946;71.85752744166925;0.25508681812355805;69.18222661303074;0.29035975605073333;65.8960013703583;0.5518440050696478;0.0600529469137523;0.04242728349575793;0.03294643629456741;0.024471915279152916;0.016873171096750565;0.013630563720838353;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;76.2298109512888;0.762298109512888;0.06968208181453742;1.0635459309799595;1;0;0.09000000000000341;0.9649999999999892;0.0932642486080209;1.0;1.0849999999999937;-0.0310880828693403;-0.0031458562580780887;20532231.0;166212.0;0.008161241526878582;94238.8;608557.1499999985;48.221283620266064;27.858716379733934;1.577726561555605;86.16485225505443;0.9103350637092968;76.275;74.43;177210.5;26.85598605026452;0.0745268138801262;1
460;2024-12-06 17:00:00+00:00;76.105;76.4;75.86;75.88;102195;1242;76.156279;6.295055440111099;5.251303060956815;1.0437523791542844;1.0437523791542844;0.20403919121280012;0.11597248657269787;75.0613336639676;0.2844021872628107;73.82111679624751;0.306315496706012;72.24062006627217;0.28753017136919085;69.44488439291187;0.31496270541279575;66.09370431351954;0.5652217110178713;0.04719845431962465;0.04403015536613574;0.03558043300370391;0.026700888273257926;0.01813653591333082;0.014369772657467717;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;74.5179707128834;0.745179707128834;0.06775292019199854;0.9267604177834765;0;0;0.22500000000000853;0.09000000000000341;2.4999999722222226;-1.0;0.10999999999999943;0.999999988888889;0.2749999938888876;20430036.0;-102195.0;-0.00497729642726108;62972.2;487614.3999999985;48.258741138338664;27.62125886166133;1.5723576332520184;82.28260869565217;0.6883428782560502;76.4;75.25;134203.5;28.44867232832659;0.04296257248286776;1
